,<rpm>,<algo_cycles>,<handoff_cycles>
# DWT rows:   D,<at>,<cyccnt>,<cpicnt>,<exccnt>,<sleepcnt>,<lsucnt>,<foldcnt>
# health rows:H,<at>,<temp_mC>,<vref_mV>,<vbat_mV>
D,boot,6498924,193,52,0,210,151
H,boot,211981,27650,0
E,1146,2,1500,253,582
E,1147,2,1500,253,582
E,1148,2,1500,253,582
E,1149,2,1500,253,582
E,1150,2,1500,253,582
E,1151,2,1500,253,582
E,1152,2,1500,253,582
E,1153,2,1500,253,582
E,1154,2,1500,253,582
E,1155,2,1500,253,582
E,1156,2,1500,253,582
E,1157,2,1500,253,582
E,1158,2,1500,253,582
E,1159,2,1500,253,582
E,1160,2,1500,253,582
E,1161,2,1500,253,582
E,1162,2,1500,253,582
E,1163,2,1500,253,582
E,1164,2,1500,253,582
E,1165,2,1500,253,582
E,1166,2,1500,253,582
E,1167,2,1500,253,582
E,1168,2,1500,253,582
E,1169,2,1500,253,582
E,1170,2,1500,253,582
E,1171,2,1500,253,582
E,1172,2,1500,253,582
E,1173,2,1500,253,582
E,1174,2,1500,253,582
E,1175,2,1500,253,582
E,1176,2,1500,253,582
E,1177,2,1500,253,582
E,1178,2,1500,253,582
E,1179,2,1500,253,582
E,1180,2,1500,253,582
E,1181,2,1500,253,582
E,1182,2,1500,253,582
E,1183,2,1500,253,582
E,1184,2,1500,253,582
E,1185,2,1500,253,582
E,1186,2,1500,253,582
E,1187,2,1500,253,582
E,1188,2,1500,253,582
E,1189,2,1500,253,582
E,1190,2,1500,253,582
E,1191,2,1500,253,582
E,1192,2,1500,253,582
E,1193,2,1500,253,582
E,1194,2,1500,253,582
E,1195,2,1500,253,582
E,1196,2,1500,253,582
E,1197,2,1500,253,582
E,1198,2,1500,253,582
E,1199,2,1500,253,582
E,1200,2,1500,253,582
E,1201,2,1500,253,582
E,1202,2,1500,253,582
E,1203,2,1500,253,582
E,1204,2,1500,253,582
E,1205,2,1500,253,582
E,1206,2,1500,253,582
E,1207,2,1500,253,582
E,1208,2,1500,253,582
E,1209,2,1500,253,582
E,1210,2,1500,253,582
E,1211,2,1500,253,582
E,1212,2,1500,253,582
E,1213,2,1500,253,582
E,1214,2,1500,253,582
E,1215,2,1500,253,582
E,1216,2,1500,253,582
E,1217,2,1500,253,582
E,1218,2,1500,253,582
E,1219,2,1500,253,582
E,1220,2,1500,253,582
E,1221,2,1500,253,582
E,1222,2,1500,253,582
E,1223,2,1500,253,582
E,1224,2,1500,253,582
E,1225,2,1500,253,582
E,1226,2,1500,253,582
E,1227,2,1500,253,582
E,1228,2,1500,253,582
E,1229,2,1500,253,582
E,1230,2,1500,253,582
E,1231,2,1500,253,582
E,1232,2,1500,253,582
E,1233,2,1500,253,582
E,1234,2,1500,253,582
E,1235,2,1500,253,582
E,1236,2,1500,253,582
E,1237,2,1500,253,582
E,1238,2,1500,253,582
E,1239,2,1500,253,582
E,1240,2,1500,253,582
E,1241,2,1500,253,582
E,1242,2,1500,253,582
E,1243,2,1500,253,582
E,1244,2,1500,253,582
E,1245,2,1500,253,582
